"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
79,"Some-college,","Married-civ-spouse,","Prof-specialty,","Male,","20,","United-States,","<=50K"
27,"HS-grad,","Never-married,","Other-service,","Male,","40,","Mexico,","<=50K"
40,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
67,"10th,","Married-civ-spouse,","?,","Male,","2,","United-States,","<=50K"
18,"11th,","Never-married,","Other-service,","Female,","22,","United-States,","<=50K"
31,"7th-8th,","Married-civ-spouse,","Farming-fishing,","Male,","40,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Sales,","Male,","30,","United-States,","<=50K"
52,"Bachelors,","Married-civ-spouse,","Other-service,","Male,","40,","Cuba,","<=50K"
46,"HS-grad,","Married-civ-spouse,","Other-service,","Female,","40,","United-States,","<=50K"
59,"HS-grad,","Married-civ-spouse,","Sales,","Male,","48,","United-States,","<=50K"
44,"HS-grad,","Divorced,","Craft-repair,","Female,","40,","United-States,",">50K"
53,"HS-grad,","Divorced,","Sales,","Female,","35,","United-States,","<=50K"
49,"HS-grad,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,",">50K"
33,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,","<=50K"
30,"9th,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
43,"Doctorate,","Never-married,","Prof-specialty,","Female,","50,","United-States,",">50K"
57,"Assoc-voc,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
37,"Some-college,","Divorced,","Craft-repair,","Female,","40,","United-States,","<=50K"
28,"Some-college,","Divorced,","Machine-op-inspct,","Female,","25,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Sales,","Female,","35,","?,","<=50K"
34,"Bachelors,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,",">50K"
29,"Some-college,","Never-married,","Handlers-cleaners,","Male,","50,","United-States,","<=50K"
48,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
37,"Some-college,","Married-civ-spouse,","Sales,","Male,","48,","United-States,",">50K"
48,"Assoc-acdm,","Divorced,","Exec-managerial,","Female,","40,","England,","<=50K"
32,"HS-grad,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
76,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
44,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
47,"Masters,","Never-married,","Prof-specialty,","Female,","50,","United-States,","<=50K"
20,"Some-college,","Never-married,","Tech-support,","Female,","40,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
32,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
17,"10th,","Never-married,","?,","Female,","32,","United-States,","<=50K"
30,"11th,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
31,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
42,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
38,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
56,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","50,","Canada,",">50K"
28,"Some-college,","Married-civ-spouse,","Sales,","Female,","25,","United-States,","<=50K"
36,"HS-grad,","Never-married,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
53,"9th,","Married-civ-spouse,","Handlers-cleaners,","Male,","50,","United-States,","<=50K"
56,"Some-college,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
49,"Assoc-voc,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
55,"Some-college,","Married-civ-spouse,","Sales,","Male,","56,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Craft-repair,","Male,","41,","United-States,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
40,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,","<=50K"
30,"Bachelors,","Never-married,","Exec-managerial,","Male,","40,","Germany,","<=50K"
29,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
19,"Some-college,","Never-married,","Other-service,","Male,","35,","United-States,","<=50K"
47,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Female,","40,","United-States,",">50K"
20,"Some-college,","Never-married,","Adm-clerical,","Female,","28,","United-States,","<=50K"
31,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,",">50K"
35,"HS-grad,","Married-civ-spouse,","?,","Male,","40,","United-States,","<=50K"
39,"Some-college,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
28,"Assoc-acdm,","Never-married,","Sales,","Female,","60,","United-States,","<=50K"
24,"HS-grad,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
38,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","35,","United-States,","<=50K"
37,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
46,"Assoc-acdm,","Divorced,","Tech-support,","Female,","36,","United-States,","<=50K"
38,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","40,","Iran,",">50K"
43,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,","<=50K"
27,"Assoc-voc,","Married-civ-spouse,","Adm-clerical,","Female,","35,","United-States,","<=50K"
20,"Some-college,","Never-married,","Sales,","Male,","20,","United-States,","<=50K"
49,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
61,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
27,"Some-college,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
19,"Some-college,","Never-married,","Other-service,","Male,","30,","Mexico,","<=50K"
45,"Assoc-voc,","Never-married,","Prof-specialty,","Female,","40,","United-States,",">50K"
70,"Some-college,","Never-married,","Tech-support,","Male,","40,","United-States,","<=50K"
31,"HS-grad,","Never-married,","Transport-moving,","Female,","30,","United-States,","<=50K"
22,"Some-college,","Married-civ-spouse,","Other-service,","Male,","24,","United-States,","<=50K"
36,"HS-grad,","Widowed,","Other-service,","Female,","24,","United-States,","<=50K"
64,"11th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
43,"Some-college,","Divorced,","?,","Female,","40,","United-States,","<=50K"
47,"Some-college,","Divorced,","Adm-clerical,","Female,","38,","Mexico,","<=50K"
34,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
33,"Bachelors,","Never-married,","Exec-managerial,","Female,","40,","Philippines,","<=50K"
21,"HS-grad,","Never-married,","Craft-repair,","Male,","35,","United-States,","<=50K"
52,"HS-grad,","Divorced,","?,","Male,","45,","United-States,",">50K"
48,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","46,","United-States,","<=50K"
23,"Bachelors,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
71,"Some-college,","Separated,","Sales,","Male,","2,","United-States,","<=50K"
29,"HS-grad,","Divorced,","Craft-repair,","Male,","60,","United-States,","<=50K"
42,"Bachelors,","Separated,","Other-service,","Male,","50,","United-States,","<=50K"
68,"1st-4th,","Divorced,","?,","Female,","20,","United-States,","<=50K"
25,"HS-grad,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
44,"Masters,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
28,"HS-grad,","Never-married,","Exec-managerial,","Female,","40,","England,","<=50K"
45,"Masters,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
36,"Some-college,","Divorced,","Other-service,","Female,","40,","Mexico,","<=50K"
39,"Assoc-acdm,","Never-married,","Exec-managerial,","Male,","42,","United-States,","<=50K"
46,"Masters,","Widowed,","Protective-serv,","Male,","40,","United-States,","<=50K"
18,"11th,","Never-married,","Handlers-cleaners,","Male,","16,","United-States,","<=50K"
66,"Assoc-voc,","Widowed,","Prof-specialty,","Female,","20,","United-States,","<=50K"
27,"HS-grad,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
28,"HS-grad,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,","<=50K"
51,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
27,"Bachelors,","Never-married,","Craft-repair,","Male,","50,","United-States,","<=50K"
28,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
27,"HS-grad,","Married-spouse-absent,","Sales,","Female,","25,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
34,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Other-service,","Male,","12,","United-States,","<=50K"
33,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","65,","United-States,","<=50K"
44,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","38,","United-States,",">50K"
43,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
30,"Some-college,","Never-married,","Craft-repair,","Male,","45,","United-States,","<=50K"
40,"7th-8th,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","Mexico,",">50K"
37,"Some-college,","Married-civ-spouse,","Adm-clerical,","Male,","42,","United-States,",">50K"
34,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
41,"Bachelors,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
53,"Bachelors,","Divorced,","?,","Female,","50,","United-States,","<=50K"
31,"Masters,","Married-civ-spouse,","Prof-specialty,","Female,","50,","United-States,","<=50K"
58,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","1,","United-States,",">50K"
38,"Some-college,","Divorced,","Machine-op-inspct,","Female,","28,","United-States,","<=50K"
24,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
41,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
47,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","45,","United-States,","<=50K"
41,"Bachelors,","Married-civ-spouse,","Tech-support,","Male,","24,","United-States,","<=50K"
23,"5th-6th,","Married-civ-spouse,","Transport-moving,","Male,","40,","Mexico,","<=50K"
36,"Some-college,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
40,"Masters,","Never-married,","Exec-managerial,","Female,","55,","United-States,",">50K"
35,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
24,"HS-grad,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
26,"Masters,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
19,"HS-grad,","Never-married,","?,","Male,","40,","Italy,","<=50K"
51,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
42,"Some-college,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
37,"HS-grad,","Divorced,","Adm-clerical,","Female,","35,","United-States,","<=50K"
18,"11th,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
36,"Bachelors,","Married-civ-spouse,","Other-service,","Male,","36,","United-States,",">50K"
35,"HS-grad,","Divorced,","Craft-repair,","Male,","60,","United-States,","<=50K"
58,"HS-grad,","Married-civ-spouse,","Sales,","Female,","35,","United-States,",">50K"
17,"11th,","Never-married,","Sales,","Female,","12,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
37,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
35,"Some-college,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
60,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
54,"7th-8th,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,",">50K"
37,"Bachelors,","Never-married,","Exec-managerial,","Male,","60,","United-States,",">50K"
50,"Assoc-acdm,","Divorced,","Sales,","Female,","40,","United-States,","<=50K"
38,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","Poland,","<=50K"
45,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","55,","United-States,","<=50K"
25,"10th,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
64,"1st-4th,","Divorced,","?,","Male,","40,","United-States,","<=50K"
90,"HS-grad,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
54,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","20,","United-States,","<=50K"
53,"Preschool,","Never-married,","Machine-op-inspct,","Female,","35,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
60,"10th,","Divorced,","?,","Female,","10,","United-States,","<=50K"
66,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","50,","United-States,","<=50K"
75,"Assoc-voc,","Widowed,","Adm-clerical,","Female,","20,","Columbia,","<=50K"
65,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
35,"11th,","Separated,","Transport-moving,","Male,","40,","United-States,","<=50K"
41,"HS-grad,","Divorced,","Sales,","Female,","38,","United-States,","<=50K"
25,"Some-college,","Never-married,","Adm-clerical,","Male,","42,","United-States,","<=50K"
33,"Some-college,","Divorced,","Craft-repair,","Female,","40,","United-States,","<=50K"
28,"Prof-school,","Never-married,","Prof-specialty,","Male,","55,","United-States,",">50K"
59,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
40,"Some-college,","Never-married,","Adm-clerical,","Female,","38,","United-States,","<=50K"
41,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","Iran,",">50K"
38,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","70,","United-States,",">50K"
23,"HS-grad,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
40,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
41,"HS-grad,","Married-civ-spouse,","Other-service,","Female,","20,","United-States,","<=50K"
24,"Assoc-acdm,","Married-civ-spouse,","Protective-serv,","Male,","50,","United-States,","<=50K"
20,"Some-college,","Never-married,","?,","Male,","20,","United-States,","<=50K"
38,"Some-college,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
56,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","35,","?,","<=50K"
58,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","45,","United-States,",">50K"
32,"HS-grad,","Never-married,","Other-service,","Female,","34,","United-States,","<=50K"
40,"Assoc-acdm,","Married-civ-spouse,","Tech-support,","Male,","60,","United-States,",">50K"
45,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","40,","?,","<=50K"
41,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Female,","40,","United-States,",">50K"
42,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Female,","40,","United-States,","<=50K"
59,"10th,","Widowed,","Other-service,","Female,","30,","United-States,","<=50K"
19,"Some-college,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
58,"Some-college,","Never-married,","Transport-moving,","Male,","20,","United-States,","<=50K"
42,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","40,","Cambodia,",">50K"
20,"HS-grad,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
32,"HS-grad,","Separated,","Other-service,","Female,","30,","United-States,","<=50K"
45,"Assoc-voc,","Widowed,","Exec-managerial,","Female,","45,","United-States,","<=50K"
50,"7th-8th,","Divorced,","Craft-repair,","Male,","40,","United-States,","<=50K"
36,"Bachelors,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
45,"HS-grad,","Married-civ-spouse,","Sales,","Male,","60,","United-States,","<=50K"
17,"11th,","Never-married,","Other-service,","Male,","12,","United-States,","<=50K"
59,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
26,"11th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
37,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","75,","Thailand,",">50K"
19,"Some-college,","Never-married,","?,","Male,","24,","Canada,","<=50K"
64,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
33,"Bachelors,","Never-married,","Prof-specialty,","Female,","45,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Craft-repair,","Female,","40,","United-States,",">50K"
61,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
17,"9th,","Never-married,","Other-service,","Male,","24,","United-States,","<=50K"
50,"Masters,","Married-civ-spouse,","Farming-fishing,","Male,","98,","United-States,","<=50K"
27,"Masters,","Never-married,","Prof-specialty,","Male,","35,","United-States,","<=50K"
30,"HS-grad,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
43,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
44,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
35,"Some-college,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
25,"Some-college,","Never-married,","Tech-support,","Female,","40,","United-States,","<=50K"
24,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Female,","48,","United-States,",">50K"
22,"Bachelors,","Never-married,","Prof-specialty,","Female,","15,","Germany,","<=50K"
42,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
34,"Assoc-acdm,","Divorced,","Sales,","Female,","45,","United-States,","<=50K"
60,"Bachelors,","Divorced,","Prof-specialty,","Female,","42,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
57,"Masters,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
41,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
50,"Some-college,","Divorced,","Other-service,","Male,","45,","United-States,","<=50K"
25,"Bachelors,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
50,"7th-8th,","Married-civ-spouse,","Craft-repair,","Male,","40,","Ecuador,","<=50K"
36,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,","<=50K"
31,"HS-grad,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
29,"Bachelors,","Never-married,","Protective-serv,","Male,","56,","United-States,","<=50K"
21,"Some-college,","Never-married,","Sales,","Male,","45,","United-States,","<=50K"
27,"Bachelors,","Never-married,","Tech-support,","Female,","40,","United-States,","<=50K"
65,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","16,","United-States,","<=50K"
37,"Bachelors,","Divorced,","Sales,","Female,","60,","United-States,","<=50K"
39,"Masters,","Married-civ-spouse,","?,","Female,","40,","?,","<=50K"
24,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
38,"HS-grad,","Divorced,","Sales,","Male,","80,","United-States,","<=50K"
48,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,",">50K"
21,"Some-college,","Never-married,","Other-service,","Female,","25,","United-States,","<=50K"
31,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","45,","United-States,",">50K"
55,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
24,"Some-college,","Married-civ-spouse,","Adm-clerical,","Female,","40,","Laos,","<=50K"
43,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
26,"Assoc-acdm,","Never-married,","Tech-support,","Male,","45,","United-States,","<=50K"
46,"Assoc-acdm,","Never-married,","Prof-specialty,","Female,","33,","United-States,","<=50K"
35,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,",">50K"
41,"Some-college,","Married-civ-spouse,","Farming-fishing,","Male,","54,","United-States,",">50K"
26,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
34,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","35,","Taiwan,",">50K"
19,"Some-college,","Never-married,","?,","Female,","25,","United-States,","<=50K"
36,"Bachelors,","Divorced,","Prof-specialty,","Female,","40,","United-States,",">50K"
22,"Some-college,","Never-married,","Sales,","Male,","15,","United-States,","<=50K"
24,"Some-college,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
77,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
22,"5th-6th,","Married-civ-spouse,","Machine-op-inspct,","Female,","40,","Mexico,","<=50K"
29,"Some-college,","Never-married,","Tech-support,","Female,","40,","United-States,","<=50K"
